Degre,Sinus,Cosinus,Tangente
0,0,1,0
1,0.0174524,0.999848,0.0174551
2,0.0348995,0.999391,0.0349208
3,0.052336,0.99863,0.0524078
4,0.0697565,0.997564,0.0699268
5,0.0871557,0.996195,0.0874887
6,0.104528,0.994522,0.105104
7,0.121869,0.992546,0.122785
8,0.139173,0.990268,0.140541
9,0.156434,0.987688,0.158384
10,0.173648,0.984808,0.176327
11,0.190809,0.981627,0.19438
12,0.207912,0.978148,0.212557
13,0.224951,0.97437,0.230868
14,0.241922,0.970296,0.249328
15,0.258819,0.965926,0.267949
16,0.275637,0.961262,0.286745
17,0.292372,0.956305,0.305731
18,0.309017,0.951057,0.32492
19,0.325568,0.945519,0.344328
20,0.34202,0.939693,0.36397
21,0.358368,0.93358,0.383864
22,0.374607,0.927184,0.404026
23,0.390731,0.920505,0.424475
24,0.406737,0.913545,0.445229
25,0.422618,0.906308,0.466308
26,0.438371,0.898794,0.487733
27,0.45399,0.891007,0.509525
28,0.469472,0.882948,0.531709
29,0.48481,0.87462,0.554309
30,0.5,0.866025,0.57735
31,0.515038,0.857167,0.600861
32,0.529919,0.848048,0.624869
33,0.544639,0.838671,0.649408
34,0.559193,0.829038,0.674509
35,0.573576,0.819152,0.700208
36,0.587785,0.809017,0.726543
37,0.601815,0.798636,0.753554
38,0.615661,0.788011,0.781286
39,0.62932,0.777146,0.809784
40,0.642788,0.766044,0.8391
41,0.656059,0.75471,0.869287
42,0.669131,0.743145,0.900404
43,0.681998,0.731354,0.932515
44,0.694658,0.71934,0.965689
45,0.707107,0.707107,1
46,0.71934,0.694658,1.03553
47,0.731354,0.681998,1.07237
48,0.743145,0.669131,1.11061
49,0.75471,0.656059,1.15037
50,0.766044,0.642788,1.19175
51,0.777146,0.62932,1.2349
52,0.788011,0.615661,1.27994
53,0.798636,0.601815,1.32704
54,0.809017,0.587785,1.37638
55,0.819152,0.573576,1.42815
56,0.829038,0.559193,1.48256
57,0.838671,0.544639,1.53986
58,0.848048,0.529919,1.60033
59,0.857167,0.515038,1.66428
60,0.866025,0.5,1.73205
61,0.87462,0.48481,1.80405
62,0.882948,0.469472,1.88073
63,0.891007,0.45399,1.96261
64,0.898794,0.438371,2.0503
65,0.906308,0.422618,2.14451
66,0.913545,0.406737,2.24604
67,0.920505,0.390731,2.35585
68,0.927184,0.374607,2.47509
69,0.93358,0.358368,2.60509
70,0.939693,0.34202,2.74748
71,0.945519,0.325568,2.90421
72,0.951057,0.309017,3.07768
73,0.956305,0.292372,3.27085
74,0.961262,0.275637,3.48741
75,0.965926,0.258819,3.73205
76,0.970296,0.241922,4.01078
77,0.97437,0.224951,4.33148
78,0.978148,0.207912,4.70463
79,0.981627,0.190809,5.14455
80,0.984808,0.173648,5.67128
81,0.987688,0.156434,6.31375
82,0.990268,0.139173,7.11537
83,0.992546,0.121869,8.14435
84,0.994522,0.104528,9.51436
85,0.996195,0.0871557,11.4301
86,0.997564,0.0697565,14.3007
87,0.99863,0.052336,19.0811
88,0.999391,0.0348995,28.6363
89,0.999848,0.0174524,57.29
90,1,6.12323e-17,1.63312e+16
91,0.999848,-0.0174524,-57.29
92,0.999391,-0.0348995,-28.6363
93,0.99863,-0.052336,-19.0811
94,0.997564,-0.0697565,-14.3007
95,0.996195,-0.0871557,-11.4301
96,0.994522,-0.104528,-9.51436
97,0.992546,-0.121869,-8.14435
98,0.990268,-0.139173,-7.11537
99,0.987688,-0.156434,-6.31375
100,0.984808,-0.173648,-5.67128
101,0.981627,-0.190809,-5.14455
102,0.978148,-0.207912,-4.70463
103,0.97437,-0.224951,-4.33148
104,0.970296,-0.241922,-4.01078
105,0.965926,-0.258819,-3.73205
106,0.961262,-0.275637,-3.48741
107,0.956305,-0.292372,-3.27085
108,0.951057,-0.309017,-3.07768
109,0.945519,-0.325568,-2.90421
110,0.939693,-0.34202,-2.74748
111,0.93358,-0.358368,-2.60509
112,0.927184,-0.374607,-2.47509
113,0.920505,-0.390731,-2.35585
114,0.913545,-0.406737,-2.24604
115,0.906308,-0.422618,-2.14451
116,0.898794,-0.438371,-2.0503
117,0.891007,-0.45399,-1.96261
118,0.882948,-0.469472,-1.88073
119,0.87462,-0.48481,-1.80405
120,0.866025,-0.5,-1.73205
121,0.857167,-0.515038,-1.66428
122,0.848048,-0.529919,-1.60033
123,0.838671,-0.544639,-1.53986
124,0.829038,-0.559193,-1.48256
125,0.819152,-0.573576,-1.42815
126,0.809017,-0.587785,-1.37638
127,0.798636,-0.601815,-1.32704
128,0.788011,-0.615661,-1.27994
129,0.777146,-0.62932,-1.2349
130,0.766044,-0.642788,-1.19175
131,0.75471,-0.656059,-1.15037
132,0.743145,-0.669131,-1.11061
133,0.731354,-0.681998,-1.07237
134,0.71934,-0.694658,-1.03553
135,0.707107,-0.707107,-1
136,0.694658,-0.71934,-0.965689
137,0.681998,-0.731354,-0.932515
138,0.669131,-0.743145,-0.900404
139,0.656059,-0.75471,-0.869287
140,0.642788,-0.766044,-0.8391
141,0.62932,-0.777146,-0.809784
142,0.615661,-0.788011,-0.781286
143,0.601815,-0.798636,-0.753554
144,0.587785,-0.809017,-0.726543
145,0.573576,-0.819152,-0.700208
146,0.559193,-0.829038,-0.674509
147,0.544639,-0.838671,-0.649408
148,0.529919,-0.848048,-0.624869
149,0.515038,-0.857167,-0.600861
150,0.5,-0.866025,-0.57735
151,0.48481,-0.87462,-0.554309
152,0.469472,-0.882948,-0.531709
153,0.45399,-0.891007,-0.509525
154,0.438371,-0.898794,-0.487733
155,0.422618,-0.906308,-0.466308
156,0.406737,-0.913545,-0.445229
157,0.390731,-0.920505,-0.424475
158,0.374607,-0.927184,-0.404026
159,0.358368,-0.93358,-0.383864
